Time,F_Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
Time,Size,Location,County,State,Lat,Lon,Comments
1230,250,3 S ORLEANS,HARLAN,NE,40.08,-99.46,(GID)
1306,100,3 SW WELLS,OTTAWA,KS,39.11,-97.59,(TOP)
1342,175,4 W DAVENPORT,NUCKOLLS,NE,40.31,-97.89,NICKEL TO GOLFBALL SIZE HAIL. TIME ESTD FM RADAR. (GID)
1345,200,3 W REPUBLICAN CITY,HARLAN,NE,40.1,-99.28,(GID)
1350,100,1 WSW INAVALE,WEBSTER,NE,40.09,-98.65,(GID)
1355,100,CARLETON,THAYER,NE,40.31,-97.68,TIME EST FM RADAR. (GID)
1407,100,3 S DURHAM,MARION,KS,38.44,-97.23,(ICT)
1417,100,5 SSW RED CLOUD,WEBSTER,NE,40.02,-98.55,TRAINED SPOTTER REPORTS NICKLE AND QUARTER SIZE HAIL. (GID)
1500,100,SUPERIOR,NUCKOLLS,NE,40.02,-98.06,PUBLIC REPORT VIA TWITTER OF NICKLE TO QUARTER SIZE HAIL. (GID)
1514,175,3 WNW BARNESTON,GAGE,NE,40.06,-96.63,PING PONG TO GOLF BALL SIZE HAIL REPORTED. (OAX)
