Time,F_Scale,Location,County,State,Lat,Lon,Comments
1825,UNK,4 N BROWNSTOWN,JACKSON,IN,38.94,-86.03,POSSIBLE TORNADO DAMAGE. DEBRIS ACROSS PROPERTY. (IND)
1845,UNK,3 ESE HIGHTOGY,LAMAR,AL,33.67,-88.04,TREES DOWN IN THE KINGSVILLE COMMUNITY... NORTHEAST OF DETROIT. (BMX)
1851,UNK,2 SSE LOWELL,LAKE,IN,41.27,-87.41,FUNNEL CLOUD WAS REPORTED. SEVEN POWER LINES DOWN... AS WELL AS SEVERAL PINE TREES WHICH ARE 30-40 FEET TALL AND 1-2 FT IN DIAMETER. LIGHT ROOF DAMAGE TO A BARN AND FAR (LOT)
1954,60,2 W BYRON,LA PORTE,IN,41.65,-86.66,(IWX)
1959,UNK,6 NW CHEROKEE,COLBERT,AL,34.82,-88.05,TREES AND POWER LINES DOWN ON RIVERTON ROSE TRAIL. (HUN)
Time,Size,Location,County,State,Lat,Lon,Comments
1629,100,1 N MELODY HILL,VANDERBURGH,IN,38.04,-87.51,QUARTER-SIZE HAIL REPORTED ON THE NORTHWEST SIDE OF EVANSVILLE. (PAH)
1631,100,5 SW MORGANFIELD,UNION,KY,37.62,-87.94,PEA TO QUARTER SIZE HAIL. (PAH)
1640,100,2 N MAZON,GRUNDY,IL,41.27,-88.43,(LOT)
1655,100,3 SE STURGIS,UNION,KY,37.51,-87.95,TIME ESTIMATED. (PAH)
1701,100,8 NW DALE,PIKE,IN,38.25,-87.09,(PAH)
1707,100,2 SW SHOREWOOD,WILL,IL,41.5,-88.22,(LOT)
1709,100,IRELAND,DUBOIS,IN,38.41,-87,REPORTED AT IRELAND... IN. (LMK)
1805,100,ASHKUM,IROQUOIS,IL,40.88,-87.96,(LOT)
1825,100,BROWNSTOWN,JACKSON,IN,38.88,-86.05,RELAYED VIA SOCIAL MEDIA. (IND)
1843,100,2 SSE SAUK VILLAGE,WILL,IL,41.47,-87.55,(LOT)
1849,150,DYER,LAKE,IN,41.5,-87.51,CORRECTS PREVIOUS HAIL REPORT FROM DYER. (LOT)
1853,100,4 SW LOWELL,LAKE,IN,41.25,-87.46,(LOT)
1921,100,4 N KOUTS,PORTER,IN,41.37,-87.03,ESTIMATED 60 MPH WINDS. (LOT)
1934,100,2 NNE TUCKER,NESHOBA,MS,32.74,-89.03,ROOF DAMAGE TO TWO HOMES ON CR 1517 AND QUARTER SIZE HAIL. (JAN)
1935,175,WANATAH,LA PORTE,IN,41.43,-86.9,PICTURE POSTED ON TWITTER OF GOLF BALL SIZE HAIL. (IWX)
1940,150,NEW SALISBURY,HARRISON,IN,38.32,-86.1,QUARTER TO GOLF BALL SIZE HAIL. (LMK)
1950,100,3 ESE HIGHTOGY,LAMAR,AL,33.67,-88.04,(BMX)
1958,175,3 N KINGSBURY,LA PORTE,IN,41.57,-86.7,BRIEF PERIOD OF HAIL WITH A FEW REACHING GOLF BALL SIZE. (IWX)
2004,100,1 N OTISCO,CLARK,IN,38.54,-85.67,REPORTED AT OTISCO... IN. (LMK)
